0,1
"List of the world's billionaires, ranked in order of net worth","List of the world's billionaires, ranked in order of net worth"
The net worth of the world's billionaires increased from less than US$1 trillion in 2000 to over $7 trillion in 2015.,The net worth of the world's billionaires increased from less than US$1 trillion in 2000 to over $7 trillion in 2015.
Publication details,Publication details
Publisher,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Whale Media InvestmentsForbes family"
Publication,Forbes
First published,March 1987[1]
Latest publication,"April 2, 2024"
Current list details (2024)[2],Current list details (2024)[2]
Wealthiest,Bernard Arnault
Net worth (1st),US$233 billion
Number of billionaires,"2,781 (from 2640)"
Total list net worth value,US$14.2 trillion (from US$12.2 trillion)
Number of women,383
Number of men,2398
New members to the list,141
Forbes: The World's Billionaires website,Forbes: The World's Billionaires website
